,rec,ver,tag,src,val.mtf1,val.pm1,val.mtf5,val.pm2p5,val.bin,val.mtf3,val.pm10,val.mtf7,val.per,val.sfr,val.sht.hmd,val.sht.tmp,exg.val.pm10,exg.val.pm1,exg.val.pm2p5,exg.src
24,2024-04-21T13:19:34Z,2.0,scs-bgx-868,N3,35.0,3.4,46.0,8.4,"[303.0, 59.0, 19.0, 4.0, 4.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41.0,12.1,0.0,4.1,2.63,33.9,46.4,13.9,6.5,7.2,rn20
25,2024-04-21T13:19:44Z,2.0,scs-bgx-868,N3,33.0,3.2,34.0,9.5,"[306.0, 46.0, 18.0, 8.0, 4.0, 3.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",34.0,17.9,30.0,4.1,2.73,34.0,46.4,13.4,6.2,6.1,rn20
26,2024-04-21T13:19:54Z,2.0,scs-bgx-868,N3,31.0,3.0,50.0,5.7,"[306.0, 69.0, 16.0, 5.0, 5.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",52.0,12.2,0.0,4.1,2.98,33.9,46.5,12.5,5.9,6.7,rn20
27,2024-04-21T13:20:04Z,2.0,scs-bgx-868,N3,34.0,3.2,43.0,8.3,"[297.0, 62.0, 12.0, 4.0, 11.0, 4.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",35.0,12.2,69.0,4.1,2.84,33.9,46.5,13.5,6.0,7.3,rn20
28,2024-04-21T13:20:14Z,2.0,scs-bgx-868,N3,31.0,3.2,46.0,6.4,"[306.0, 66.0, 30.0, 4.0, 3.0, 3.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32.0,12.9,0.0,4.1,3.04,33.9,46.4,13.9,6.3,7.2,rn20
29,2024-04-21T13:20:24Z,2.0,scs-bgx-868,N3,32.0,3.1,43.0,5.8,"[330.0, 65.0, 18.0, 5.0, 4.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50.0,11.7,0.0,4.1,3.05,34.0,46.4,14.1,6.7,7.4,rn20
30,2024-04-21T13:20:34Z,2.0,scs-bgx-868,N3,33.0,3.1,55.0,6.5,"[293.0, 60.0, 22.0, 6.0, 6.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",34.0,7.8,0.0,4.1,2.96,34.0,46.4,11.1,6.5,6.9,rn20
31,2024-04-21T13:20:44Z,2.0,scs-bgx-868,N3,32.0,2.7,41.0,8.5,"[305.0, 65.0, 11.0, 2.0, 1.0, 4.0, 7.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",31.0,24.4,0.0,4.1,3.01,34.0,46.4,21.8,5.0,6.1,rn20
32,2024-04-21T13:20:54Z,2.0,scs-bgx-868,N3,32.0,3.1,38.0,7.9,"[292.0, 65.0, 19.0, 5.0, 9.0, 2.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",37.0,44.3,0.0,4.1,3.03,34.0,46.4,39.6,6.5,8.0,rn20
33,2024-04-21T13:21:04Z,2.0,scs-bgx-868,N3,32.0,2.9,26.0,7.4,"[324.0, 56.0, 13.0, 4.0, 7.0, 3.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",45.0,39.1,47.0,4.1,3.04,34.1,46.4,22.4,6.5,7.6,rn20
